ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,Time,TanAhKow,No,1,0,0.1,0.2,0.3,1.1,0.4,0.5,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14,0.15,0.16,1.20,1.21,1.22,1.23,1.24,1.25,0.17,1.26,0.18,0.19,1.27
0.05,-0.57,0.82,-1.61,-1.12,0.98,69,67,79,25/06/2023 12:43:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,-0.57,0.81,-0.63,-2.94,0.42,81,83,97,25/06/2023 12:43:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,-0.57,0.82,-0.07,-2.66,0.7,72,69,84,25/06/2023 12:43:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04,-0.58,0.83,0.42,-1.82,0.98,76,77,92,25/06/2023 12:43:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,-0.58,0.82,0.56,-1.26,1.05,77,79,93,25/06/2023 12:43:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,-0.58,0.81,0.56,-1.68,0.98,69,66,81,25/06/2023 12:43:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,-0.58,0.81,0.35,-1.89,0.63,80,82,97,25/06/2023 12:43:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,-0.58,0.82,0.14,-2.03,0.7,69,67,81,25/06/2023 12:43:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,-0.58,0.82,0.14,-2.03,0.7,69,67,81,25/06/2023 12:43:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,-0.59,0.83,-0.84,-2.45,0.35,76,76,91,25/06/2023 12:43:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,-0.58,0.82,0.21,-1.61,0.49,79,80,95,25/06/2023 12:43:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04,-0.58,0.82,0.49,-1.68,0.91,69,67,78,25/06/2023 12:43:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,-0.58,0.82,0.0,-2.1,0.63,81,82,96,25/06/2023 12:43:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,-0.58,0.82,-0.35,-2.17,0.35,74,73,86,25/06/2023 12:43:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,-0.57,0.82,0.56,-1.68,0.7,73,71,85,25/06/2023 12:43:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,-0.58,0.82,0.21,-1.75,0.84,81,82,96,25/06/2023 12:43:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,-0.58,0.81,0.0,-1.82,0.7,69,66,78,25/06/2023 12:43:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
