ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,Time,TanAhKow,Yes,0,0.1,0.2,0.3,1,1.1,1.2,1.3,1.4,0.4,1.5,0.5,1.6,0.6,0.7,0.8,0.9,0.10,0.11,0.12,1.7,1.8,1.9,1.10,0.13,0.14,1.11,0.15,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20,0.16,0.17,0.18,0.19,0.20,0.21,0.22,1.21,1.22,1.23,1.24,0.23,0.24,0.25,1.25,1.26,0.26,1.27,1.28,1.29,0.27,0.28,1.30,0.29,0.30,0.31,0.32,0.33
-0.27,-0.08,0.96,-0.49,-2.8,0.7,76,77,91,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.28,-0.08,0.97,0.14,-1.68,0.56,80,79,96,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.29,-0.08,0.96,0.35,-1.54,0.42,72,69,83,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.28,-0.08,0.96,0.42,-1.61,0.77,79,81,97,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.28,-0.08,0.96,0.07,-2.1,0.28,68,66,77,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.28,-0.08,0.96,0.42,-2.17,0.91,78,78,94,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.29,-0.08,0.96,0.21,-2.17,0.63,78,80,93,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.28,-0.08,0.96,0.07,-1.96,0.56,76,74,86,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.29,-0.08,0.96,0.35,-1.89,0.77,71,68,79,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.28,-0.08,0.96,0.07,-1.82,0.49,83,83,98,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.29,-0.07,0.87,8.96,-0.98,8.96,72,70,83,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.29,-0.45,1.26,94.15,10.01,-5.11,73,71,84,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.54,0.46,0.63,13.72,-121.59,-211.68,82,82,96,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.1,0.58,1.71,173.74,107.31,118.23,70,66,78,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.5,-0.31,1.51,42.63,-301.56,51.17,80,81,95,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.22,0.7,0.25,102.27,-307.65,156.59,76,74,88,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36,-0.42,0.18,121.45,8.05,233.45,78,77,90,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,-0.04,1.48,-35.28,-15.61,-75.46,79,78,91,25/06/2023 12:43:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
